الهدف الرئيسي,الهدف الفرعي,الادارة المسؤولة,الانشطة
تعظيـــم المســاهمة في دعم الاقتصاد القومي,تطبيق المبادي والفروض المحاسبية وفقاً للوائح والقوانين والمناشير المتعارف عليها ,الشؤون المالية ,تطبيق الهيكل الراتبي
تعظيـــم المســاهمة في دعم الاقتصاد القومي,إحكام الرقابة والإشراف على شركات الإمتياز المنتجة بما يُحقق %85 (على الأقل) من الإنتاج المُخطط,ادارة الانتاج,إحكام وتطوير نظام الرقابة المكتبية والحقلية
تعظيـــم المســاهمة في دعم الاقتصاد القومي,إحكام الرقابة والإشراف على شركات الإمتياز المنتجة بما يُحقق %85 (على الأقل) من الإنتاج المُخطط,ادارة الانتاج,ضبط سلاسل إمداد الذهب
تعظيـــم المســاهمة في دعم الاقتصاد القومي,إحكام الرقابة والإشراف على شركات الإمتياز المنتجة بما يُحقق %85 (على الأقل) من الإنتاج المُخطط,ادارة الانتاج,تقديم الدعم الفني والإداري والإجرائي للشركات
تعظيـــم المســاهمة في دعم الاقتصاد القومي,إحكام الرقابة والإشراف على شركات الإمتياز المنتجة بما يُحقق %85 (على الأقل) من الإنتاج المُخطط,ادارة الانتاج,الاجتماعات الدورية والطارئة مع أصحاب المصلحة والإدارات ذات الصلة
تعظيـــم المســاهمة في دعم الاقتصاد القومي,إحكام الرقابة والإشراف على شركات الإمتياز المنتجة بما يُحقق %85 (على الأقل) من الإنتاج المُخطط,ادارة الانتاج,تنفيذ المأموريات التفتيشية
تعظيـــم المســاهمة في دعم الاقتصاد القومي,إحكام الرقابة والإشراف على شركات الإمتياز المنتجة بما يُحقق %85 (على الأقل) من الإنتاج المُخطط,ادارة الانتاج,متابعة خطط الانتاج المستهدف للعام 2025م 
تعظيـــم المســاهمة في دعم الاقتصاد القومي,إحكام الرقابة والإشراف على شركات الإمتياز المنتجة بما يُحقق %85 (على الأقل) من الإنتاج المُخطط,ادارة الانتاج,إعتماد خطط الإنتاج للعام 2026م
تعظيـــم المســاهمة في دعم الاقتصاد القومي,إحكام الرقابة والإشراف على شركات شركات معالجة مخلفات بما يُحقق %100 من الإنتاج المُخطط,ادارة الانتاج,إحكام وتطوير نظام الرقابة المكتبية والحقلية
تعظيـــم المســاهمة في دعم الاقتصاد القومي,إحكام الرقابة والإشراف على شركات شركات معالجة مخلفات بما يُحقق %100 من الإنتاج المُخطط,ادارة الانتاج,ضبط سلاسل إمداد الذهب
تعظيـــم المســاهمة في دعم الاقتصاد القومي,إحكام الرقابة والإشراف على شركات شركات معالجة مخلفات بما يُحقق %100 من الإنتاج المُخطط,ادارة الانتاج,تقديم الدعم الفني والإداري والإجرائي للشركات
تعظيـــم المســاهمة في دعم الاقتصاد القومي,إحكام الرقابة والإشراف على شركات شركات معالجة مخلفات بما يُحقق %100 من الإنتاج المُخطط,ادارة الانتاج,الاجتماعات الدورية والطارئة مع أصحاب المصلحة والإدارات ذات الصلة
تعظيـــم المســاهمة في دعم الاقتصاد القومي,إحكام الرقابة والإشراف على شركات شركات معالجة مخلفات بما يُحقق %100 من الإنتاج المُخطط,ادارة الانتاج,تنفيذ المأموريات التفتيشية
تعظيـــم المســاهمة في دعم الاقتصاد القومي,إحكام الرقابة والإشراف على شركات شركات معالجة مخلفات بما يُحقق %100 من الإنتاج المُخطط,ادارة الانتاج,متابعة خطط الانتاج المستهدف للعام 2025م 
تعظيـــم المســاهمة في دعم الاقتصاد القومي,إحكام الرقابة والإشراف على شركات شركات معالجة مخلفات بما يُحقق %100 من الإنتاج المُخطط,ادارة الانتاج,إعتماد خطط الإنتاج للعام 2026م
تعظيـــم المســاهمة في دعم الاقتصاد القومي,تعظيم وتوسيع عائدات الدولة الانتاجية والايرادية للتعدين التقليدي,التعدين التقليدي,تطيبق زيادة  قيمة التحصيل للجوال
تعظيـــم المســاهمة في دعم الاقتصاد القومي,تعظيم وتوسيع عائدات الدولة الانتاجية والايرادية للتعدين التقليدي,التعدين التقليدي,الاشراف علي تحصيل اسواق التعدين
تعظيـــم المســاهمة في دعم الاقتصاد القومي,تعظيم وتوسيع عائدات الدولة الانتاجية والايرادية للتعدين التقليدي,التعدين التقليدي,الاشراف علي التحصيل من الغرابيل
تعظيـــم المســاهمة في دعم الاقتصاد القومي,تعظيم وتوسيع عائدات الدولة الانتاجية والايرادية للتعدين التقليدي,التعدين التقليدي,الاشراف علي التحصيل العيني
تعظيـــم المســاهمة في دعم الاقتصاد القومي,الضبط والرقابة على حركة الذهب الموجه لغرض الصادر,ادارة الصادر,رصد الذهب الوارد من الاسواق ومقارنته مع الذهب الوارد للمواصفات لأغراض الصادر .
تعظيـــم المســاهمة في دعم الاقتصاد القومي,الضبط والرقابة على حركة الذهب الموجه لغرض الصادر,ادارة الصادر,رصد الذهب الوارد من المواصفات لغرض الصادر ومراجعة شهادات المعايرة لغرض الصادر  .
تعظيـــم المســاهمة في دعم الاقتصاد القومي,الضبط والرقابة على حركة الذهب الموجه لغرض الصادر,ادارة الصادر,القيام باجراءات صادر الذهب واعتماد شهادات عدم الممانعة
تعظيـــم المســاهمة في دعم الاقتصاد القومي,الضبط والرقابة على حركة الذهب الموجه لغرض الصادر,ادارة الصادر,رفع التقارير عن حركة نقل الذهب لاغراض الصادر والبيانات المرتبطة بيها ، والقيام برصد دفعيات عائد الصادر وفق الكمية المصدرة من الذهب الخام .
تعظيـــم المســاهمة في دعم الاقتصاد القومي,ضبط  حركة الذهب وتعظيم نصيب الدولة من الذهب,ادارة الصادر,رصد ومراجعة الإنتاج الذي لم يصل لجان إستلام نصيب الدولة من الذهب
تعظيـــم المســاهمة في دعم الاقتصاد القومي,ضبط  حركة الذهب وتعظيم نصيب الدولة من الذهب,ادارة الصادر,تحديد إنتاج حجر المعدنين بالتواصل مع الإدارات الفنية ومراقبين الإنتاج
تعظيـــم المســاهمة في دعم الاقتصاد القومي,ضبط  حركة الذهب وتعظيم نصيب الدولة من الذهب,ادارة الصادر,توزيع الذهب المستلم بواسطة اللجان بالولايات  علي شركاء الدولة حسب القرار90
تعظيـــم المســاهمة في دعم الاقتصاد القومي,ضبط  حركة الذهب وتعظيم نصيب الدولة من الذهب,ادارة الصادر,متابعة إجراءات بيع نصيب الدولة  من الذهب حسب ما تحددة لجنة بيع الذهب بالشركة
تعظيـــم المســاهمة في دعم الاقتصاد القومي,ضبط  حركة الذهب وتعظيم نصيب الدولة من الذهب,ادارة الصادر,إعداد تقرير شهري مفصل بآنصبة الشركاء قيمة وذهب
تعظيـــم المســاهمة في دعم الاقتصاد القومي,ضبط حركة وتعظيم نصيب الدولة من الفضة,ادارة الصادر,حصر إنتاج الفضة ومتابعة الترحيل وصولاً إلي الحصول علي نتيجة المعمل
تعظيـــم المســاهمة في دعم الاقتصاد القومي,ضبط حركة وتعظيم نصيب الدولة من الفضة,ادارة الصادر,إرسال المطالبات إلي العملاء بإستقطاع نصيب الدولة من الفضة ذهب او ما يعادلة جنية سوداني
تعظيـــم المســاهمة في دعم الاقتصاد القومي,ضبط حركة وتعظيم نصيب الدولة من الفضة,ادارة الصادر,المتابعة مع العميل حتي يتم توريد نصيب الدولة قيمةً أو ذهباً.
تعظيـــم المســاهمة في دعم الاقتصاد القومي,الضبط والرقابة علي حركة الذهب ومكافحة التهريب ,ادارة الصادر,احكام الرقابة علي المعابر والمنافذ (البرية والبحرية والجوية ) بتفعيل منافذ ومعابر جديدة
تعظيـــم المســاهمة في دعم الاقتصاد القومي,الضبط والرقابة علي حركة الذهب ومكافحة التهريب ,ادارة الصادر,الاحاطة بمنتج الذهب من حيث الكمية المنتجة والمتداولة والمصدرة  عبر تفعيل الاجهزة النظامية والضبطيات
تعظيـــم المســاهمة في دعم الاقتصاد القومي,الضبط والرقابة علي حركة الذهب ومكافحة التهريب ,ادارة الصادر,الحد من تهريب الذهب لاسترداد انصبة الدولة وتعظيم الايرادات  الاهتمام بالضبطيات لرفع الصادر
تعظيـــم المســاهمة في دعم الاقتصاد القومي,الضبط والرقابة علي حركة الذهب ومكافحة التهريب ,ادارة الصادر,مكافة تهريب الذهب للحد من التهرب من عائد الصادر  احكام متكامل لمستندات النقل والتخزين والترحيل
تعظيـــم المســاهمة في دعم الاقتصاد القومي,الضبط والرقابة علي حركة الذهب ومكافحة التهريب ,ادارة الصادر,مراقبة الدورة المستندية للذهب المتداول والمخزن والصادر  اعادة احكام اجراءات المستندات وتاكيد نقاط الوجهه
تعظيـــم المســاهمة في دعم الاقتصاد القومي,حصر ومعالجة الخامات المُعالجة مُسبقاً في شركات معالجة مخلفات التعدين التقليدي,ادارة الانتاج,حصر الكميات بمواقع الشركات
تعظيـــم المســاهمة في دعم الاقتصاد القومي,حصر ومعالجة الخامات المُعالجة مُسبقاً في شركات معالجة مخلفات التعدين التقليدي,ادارة الانتاج,إعداد دراسة لطريقة وجدوى المعالجة
تعظيـــم المســاهمة في دعم الاقتصاد القومي,حصر ومعالجة الخامات المُعالجة مُسبقاً في شركات معالجة مخلفات التعدين التقليدي,ادارة الانتاج,إعتماد أنصبة الدولة للمشروع
تعظيـــم المســاهمة في دعم الاقتصاد القومي,حصر ومعالجة الخامات المُعالجة مُسبقاً في شركات معالجة مخلفات التعدين التقليدي,ادارة الانتاج,الإشراف على تنفيذ المشروع
تعظيـــم المســاهمة في دعم الاقتصاد القومي,إحكام الرقابة على الذهب المنتج بقطاع التعدين التقليدي ,التعدين التقليدي,إحكام الرقابة على الذهب المنتج داخل الأسواق
تعظيـــم المســاهمة في دعم الاقتصاد القومي,إحكام الرقابة على الذهب المنتج بقطاع التعدين التقليدي ,التعدين التقليدي,إحكام الرقابة على الذهب الخارج من الأسواق
تعظيـــم المســاهمة في دعم الاقتصاد القومي,إحكام الرقابة على الذهب المنتج بقطاع التعدين التقليدي ,التعدين التقليدي,إحكام الرقابة على معامل المعايرة والصاغة
تعظيـــم المســاهمة في دعم الاقتصاد القومي,إحكام الرقابة على الذهب المنتج بقطاع التعدين التقليدي ,التعدين التقليدي,إحكام الرقابة على الكرتة داخل الأسواق
تعظيـــم المســاهمة في دعم الاقتصاد القومي,إحكام الرقابة على الذهب المنتج بقطاع التعدين التقليدي ,التعدين التقليدي,إحكام الرقابة على الذهب المُنتج خارج الأسواق
تعظيـــم المســاهمة في دعم الاقتصاد القومي,زيادة الإنتاج والانتاجية لشركات التعدين الصغير,التعدين الصغير,جمع واعتماد خطط الشركات رصد وضبط الانتاج (استلام تقارير الانتاج + استلام التقارير الفنية من المراقبين + مراجعة الانحراف فى الانتاج المخطط) + متابعة تحصيل وتحديث العوائد الجليلة لمعادن (الرخام – الجبص – الملح) + إجراءات صادر المعادن الاخرى.
تعظيـــم المســاهمة في دعم الاقتصاد القومي,زيادة الإنتاج والانتاجية لشركات التعدين الصغير,التعدين الصغير,تنفيذ مأموريات الرقابة والتفتيش 
تعظيـــم المســاهمة في دعم الاقتصاد القومي,زيادة الإنتاج والانتاجية لشركات التعدين الصغير,التعدين الصغير,تقديم الدعم الفني للشركات 
تعظيـــم المســاهمة في دعم الاقتصاد القومي,زيادة الإنتاج والانتاجية لشركات التعدين الصغير,التعدين الصغير,عمل قيمة للمعادن الصناعية والمعادن الاستراتيجية 
تعظيـــم المســاهمة في دعم الاقتصاد القومي,زيادة الإنتاج والانتاجية لشركات التعدين الصغير,التعدين الصغير,إقامة ورشة لمناقشة مشاكل الشركات الفنية والادارية.
تعظيـــم المســاهمة في دعم الاقتصاد القومي,زيادة الإنتاج والانتاجية لشركات التعدين الصغير,التعدين الصغير,تنفيذ الاجراءات للشركات
تعظيـــم المســاهمة في دعم الاقتصاد القومي,المراجعة والتدقيق علي الموازنة العامة للشركة والقوائم المالية لشركات التعدين,المراجعة الداخلية,مراجعة حسابات ايرادات الشركة في للعام 2025م.
تعظيـــم المســاهمة في دعم الاقتصاد القومي,المراجعة والتدقيق علي الموازنة العامة للشركة والقوائم المالية لشركات التعدين,المراجعة الداخلية,مراجعة المصروفات الفعلية مع المجازة وفق الموازنة.
تعظيـــم المســاهمة في دعم الاقتصاد القومي,المراجعة والتدقيق علي الموازنة العامة للشركة والقوائم المالية لشركات التعدين,المراجعة الداخلية,مراجعة الاصول الملموسة وغيرالملموسه 
تعظيـــم المســاهمة في دعم الاقتصاد القومي,المراجعة والتدقيق علي الموازنة العامة للشركة والقوائم المالية لشركات التعدين,المراجعة الداخلية,مراجعة الخصوم وحقوق الملكية
تعظيـــم المســاهمة في دعم الاقتصاد القومي,المراجعة والتدقيق علي الموازنة العامة للشركة والقوائم المالية لشركات التعدين,المراجعة الداخلية,مراجعة قائمة الدخل للشركات بمكوناتها المختلفة.
تعظيـــم المســاهمة في دعم الاقتصاد القومي,المراجعة والتدقيق علي الموازنة العامة للشركة والقوائم المالية لشركات التعدين,المراجعة الداخلية,مراجعة قائمة المركز المالي  للشركات بمكوناتها المختلفة.
تعظيـــم المســاهمة في دعم الاقتصاد القومي,المراجعة والتدقيق علي الموازنة العامة للشركة والقوائم المالية لشركات التعدين,المراجعة الداخلية,مراجعة قائمة التدفقات النقدية
تعظيـــم المســاهمة في دعم الاقتصاد القومي,المراجعة والتدقيق علي الموازنة العامة للشركة والقوائم المالية لشركات التعدين,المراجعة الداخلية,مراجعة قائمة التغير في حقوق الملكية
تعظيـــم المســاهمة في دعم الاقتصاد القومي,تفعيل شراكة في مشروعات اسثتمارية,الاستثمار,تقديم واعتماد دراسات الجدوي الاقتصادية لمشروعات استثمارية
تعظيـــم المســاهمة في دعم الاقتصاد القومي,تفعيل شراكة في مشروعات اسثتمارية,الاستثمار,حصر الجهات الممكن عبرها تفعيل شراكة تمويلية
تعظيـــم المســاهمة في دعم الاقتصاد القومي,تفعيل شراكة في مشروعات اسثتمارية,الاستثمار,التنسيق مع جهات لتمويل المشروعات والدخول في شركات استثمارية 
تعظيـــم المســاهمة في دعم الاقتصاد القومي,تفعيل شراكة في مشروعات اسثتمارية,الاستثمار,الاستثمار عبر مشروع رخصة تعدين المخلفات 
إحكام  وتطوير الاشراف والرقابة علي قطاع التعدين,مشروع  تأسيس وحدة (ورشة) البرمجيات الفنية المساعدة في انجاز العمليات الفنية للتأكد من النماذج الجيولوجية والهندسية التي تدرجها الشركات العاملة ضمن عملها الفني,التعدين الصغير,تجهيز قاعة كبرى بها سيرفرات ذات سعات تخزينية كبيرة
إحكام  وتطوير الاشراف والرقابة علي قطاع التعدين,مشروع  تأسيس وحدة (ورشة) البرمجيات الفنية المساعدة في انجاز العمليات الفنية للتأكد من النماذج الجيولوجية والهندسية التي تدرجها الشركات العاملة ضمن عملها الفني,التعدين الصغير,تجهيز برامج فنية مثل ( surpac ) و 
إحكام  وتطوير الاشراف والرقابة علي قطاع التعدين,مشروع  تأسيس وحدة (ورشة) البرمجيات الفنية المساعدة في انجاز العمليات الفنية للتأكد من النماذج الجيولوجية والهندسية التي تدرجها الشركات العاملة ضمن عملها الفني,التعدين الصغير,( micromine  ) بالإضافة الى برامج ال ( GIS )
إحكام  وتطوير الاشراف والرقابة علي قطاع التعدين,مشروع  تأسيس وحدة (ورشة) البرمجيات الفنية المساعدة في انجاز العمليات الفنية للتأكد من النماذج الجيولوجية والهندسية التي تدرجها الشركات العاملة ضمن عملها الفني,التعدين الصغير,تجهيز قاعة الوحدة واستجلاب السعات التخزينية (خلال الربع الأول)
إحكام  وتطوير الاشراف والرقابة علي قطاع التعدين,مشروع  تأسيس وحدة (ورشة) البرمجيات الفنية المساعدة في انجاز العمليات الفنية للتأكد من النماذج الجيولوجية والهندسية التي تدرجها الشركات العاملة ضمن عملها الفني,التعدين الصغير,استجلاب البرمجيات المطلوبة (خلال استكمال المعلومات الفنية المطلوبة.
إحكام  وتطوير الاشراف والرقابة علي قطاع التعدين,مشروع  تأسيس وحدة (ورشة) البرمجيات الفنية المساعدة في انجاز العمليات الفنية للتأكد من النماذج الجيولوجية والهندسية التي تدرجها الشركات العاملة ضمن عملها الفني,التعدين الصغير, تدريب الكادر الفني وتدشين المشروع
إحكام  وتطوير الاشراف والرقابة علي قطاع التعدين,احكام الإشراف والرقابة الإدارية والتعاقدية وتوفيق أوضاع شركات الاستكشاف,إدارة الاستكشاف,دراسة ومراجعة الإتفاقيات الجديدة واضافة المربعات الجديدة وإعداد إستمارة البيانات والمخاطبات وتحديث قاعدة البيانات.
إحكام  وتطوير الاشراف والرقابة علي قطاع التعدين,احكام الإشراف والرقابة الإدارية والتعاقدية وتوفيق أوضاع شركات الاستكشاف,إدارة الاستكشاف,دراسة طلبات اعتماد المواقيت التعويض والتجميد وإصدار الشهادات
إحكام  وتطوير الاشراف والرقابة علي قطاع التعدين,احكام الإشراف والرقابة الإدارية والتعاقدية وتوفيق أوضاع شركات الاستكشاف,إدارة الاستكشاف,توفيق الوضع التعاقدى للشركات ودراسة التمديد والتنازل والتخلى وتعديل المساحات وإصدار الشهادات
إحكام  وتطوير الاشراف والرقابة علي قطاع التعدين,احكام الإشراف والرقابة الإدارية والتعاقدية وتوفيق أوضاع شركات الاستكشاف,إدارة الاستكشاف,الشراكة وفض الشراكة وتنازل الأسهم وتعديل الأنصبة وإصدار الشهادات
