الاسم العربي:,الاسم باللغة الانجليزية,الجنسية:,العنوان:,الموقع الالكتروني:,اسم المدير:,تلفون المدير:,اسم ممثل الشركة:,تلفون ممثل الشركة:,البريد الالكتروني الرسمي:,الحالة:,,
ملاحة طه كباشي(ملاحة اطعام ),Mullahat Taha Akabashi,سودانية,,,,,,,,منتجة,,
ملاحة عباس بدوى  الفكى(بلية, Mullahat Abas Badwi A lfaki,سودانية,,,,,,,,منتجة,,
ملاحطة بيطار المحدودة, Mullahat Bitar  Ltd,سودانية,,,,,,,,منتجة,,
موسى حسن مختار,Moussa Hassan Mokhtar,سودانية,,,,,,,,منتجة,,
ناسا للتعدين,NASA FOR MININIG,سودانية,,,,,,,,متوقفة,,
نصر الدين عبد الله ,Nasr Aldin Abdullah,سودانية,,,,,,,,منتجة,,
هاشم محمد بلال ,Hashem Muhammad Bilal,سودانية,,,,,,,,منتجة,,
أعمال هنجارة للتعدين,HANGARA FOR MINING,سودانية,,,,,محمد عبد الحميد,911322004,,متوقفة,,
هوادونق للتعدين,HOUADONG FOR MINING,صينية,,,,,ووو,962863365,,متوقفة,,
ابكو للتعدين,APCO Mining,سودانية,,,,,,,,منتهية,ب م,
ابو الوليد للتعدين,Abu Al Waleed For Mining,سودانية,,,,,,,,منتهية,ب م,
اس ام تى للمشاريع المحدودة,SMT Projects Ltd.,سودانية,,,,,,,,منتهية,ب م,
اسمارت فجن العالمية,SmartVision International,سودانية,,,,,,,,منتهية,ب م,
اعمال التعدين المتقدمة المحدودة(حديد) ,Advanced Mining Works Ltd. (Hadid),سودانية,,,,,,,,منتهية,ب م,
اعمال الفاتح للتعدين ,Al Fateh Mining Works,سودانية,,,,,,,,منتهية,ب م,
اعمال الماهرون للتعدين,Al Mahroon Mining Works,سودانية,,,,,,,,منتهية,ب م,
اعمال أثمار للتعدين,Athmar Mining Works,سودانية,,,,,,,,منتهية,ب م,
اعمال برعي,Burai mine services,سودانية,ابوحمد -سوق الطواحين,,برعي حسن أسماعيل ,(24911) 276-7373,حسان موسى عبده ,(24991) 711-2338,buraimineservices@gmail.com,سارية,ب م,
اعمال جريوة للتعدين,Griwa Mining Works,,,,,,,,,سارية,ب م,
اعمال عماد الدين محمود سعيد للتعدين,Imad El Din Mahmoud Saeed Mining Works,سودانية,,,,,,,,سارية,ب م,
افرانكو للتعدين,Afrancco Mining,سودانية,,,,,,,,منتهية,ب م,
اقيانوس للتعدين,Ogeanus Mining,سودانية,,,,,,,,منتهية,ب م,
اكليل للتعدين,Ecleel  for mining,سودانية,,,,,,,,منتهية,ب م,
الإخلاص للاعمال المتقدمة المحدودة,AL EKHLAS FOR ADVANCED WORKS LTD,سودانية,,,,,,,,منتهية,ب م,
الأصاله للتعدين,Al Asala For Mining ,سودانية,,,,,,,,منتهية,ب م,
الأطلنطي العالمية للإمدادات الطبية,Atlantic Global Medical Supplies ,سودانية,,,,,,,,منتهية,ب م,
البيدي للتعدين,Al Baidi Mining ,سودانية,,,,,,,,منتهية,ب م,
التيتويد للطاقة والتعدين المحدودة,Tetuid Energy & Mining Ltd,سودانية,,,,,,,,منتهية,ب م,
التريان للتعدين,ALTARIYAN FOR MINING,سودانية,,,,,,,,منتهية,ب م,
الجكوب للتعدين,Al Jacob Mining,سودانية,,,,,,,,منتهية,ب م,
الحاج محمد احمد لمعالجة مخالفات التعدين,Hajj Mohammed Ahmed forn  mining wast treatment,سودانية,,,,,,,,منتهية,ب م,
الحامد للتعدين,Al Hamed Mining,سودانية,,,,,,,,منتهية,ب م,
الختم للأعمال المتقدمة المحدودة,Al khatm  Advanced Business Ltd.,سودانية,,,,,,,,منتهية,ب م,
الخنساء العالمية للإستثمار,Al Khansaa International Investment,سودانية,,,,,,,,منتهية,ب م,
الدار للخدمات والإستثمار,AL DURAA FOR MININIG,سودانية,,,,,محمد سيد,912200557,,منتهية,ب م,
الرعيل الأول للصناعة والإنشاءات, Alraeil Alawal  For Industry & Construction,سودانية,,,,,,,,منتهية,ب م,
الرفعة للتعدين,AL Refaa for Mining,سودانية,الخرطوم السوقالعربي,,مبارك ادم احمد سعيد,249121845333-249912233985,محمد عبدالقادر  الحاج,(24991) 267-2881,alrefaformining@gmail.com,منتهية,ب م,
الروابي للتعدين,Al Rawabi Mining,سودانية,,,,,,,,منتهية,ب م,
الروضة للأعمال الجيولوجية والإستثمار المحدودة,Al Rawda Geological Works & Investment Ltd,سودانية,,,,,,,,منتهية,ب م,
السر محمد أحمد الوقيع للتعدين,"Al , Sir Mohamed Ahmed Al , Waqee for Mining",سودانية,,,,,,,,منتهية,ب م,
السودانية اليابانية للتعدين,S.J for mininig,سودانية يابانية ,الخرطوم شارع المشتل ,,عبدالله خضر عبدالرحمن,(81806) 342-8326,محمد بشرى شاع الدين,(12) 370-2999,abdokhidir@sjmid.com,منتهية,ب م,
الشمقمق للتعدين والإستثمار المحدودة,Shammaq Mining & Investment Ltd.,سودانية,,,,,,,,منتهية,ب م,
العبق للتعدين,Alabag  Mining,سودانية,,,,,,,,منتهية,ب م,
العروة للتعدين,Al Urwa Mining,سودانية,,,,,,,,منتهية,ب م,
العسجد للأعمال المتقدمة,Al Asjad Advanced Works,سودانية,,,,,,,,منتهية,ب م,
العواد للتعدين,Al Awwad For Mining,سودانية,,,,,,,,منتهية,ب م,
الفخامة,Alfakham Alerababi Co. Ltd,سودانية,عطبرة -عمارة البحار شقة4,,الشريف محمد احمد سيد جابر,(91) 256-3379,محمد الصادق علي جماع,(91) 875-1324,drso76@yahoo.com,منتهية,ب م,
القبه للتعدين ,El Gobba For Mining,سودانية,,,,,,,,منتهية,ب م,
القواسمة للتعدين ,Qawasmeh Mining,سودانية,,,,,,,,منتهية,ب م,
المستشار المتحدة للأنشطة,United Activities Consultant,سودانية,,,,,,,,منتهية,ب م,
المستقلة للتعدين المحدودة,Almostagila  Mining Ltd.,سودانية,,,,,,,,منتهية,ب م,
المشهداني للتعدين المحدودة,Al Mashhadani Mining Ltd.,سودانية,,,,,,,,منتهية,ب م,
المعز ابراهيم,Almoiz Ibrahim Ateam For Mining  ,سودانية,الخرطوم -شارع السيد عبدالرحمن ,,المعز ابراهيم اتيم,(91) 231-8537,الصادق صديق العجب,0120397236-0917948888,Almoizmining16@gmail.com,منتهية,ب م,
الناير للتعدين,Al Nayer Mining,سودانية,,,,,,,,منتهية,ب م,
النيزك للتعدين,Al Nayzak Mining,سودانية,,,,,,,,منتهية,ب م,
الهصور للتعدين,Al Hasur Mining,سودانية,,,,,,,,منتهية,ب م,
الوادي للمقاولات والتجارة,Wadi Contracting & Trading,سودانية,,,,,,,,منتهية,ب م,
ام اس اى كاى للتعدين,MSIK FOR MINING,سودانية,,,,,,,,منتهية,ب م,
ام اف زد,M F Z for mining,سودانية,الخرطوم شارع القصر,,مريم عبدالقادر يونس ,(92) 819-3997,فاطمة التجاني سالم محمد علي,0117125463/0916972072,mfzmining@gmail.com,منتهية,ب م,
اونيكس جيوسينس ,ONYX GEOSCIENCE ,سودانية,الخرطوم- بري,,عاطف الطيب محمد الامين,(24991) 239-1260,صفاء عمر حسن,(24991) 637-7411,atiftayeb@gmail.com,منتهية,ب م,
ايفرست للاعمال المتقدمة,Everest Advanced Business,سودانية,,,,,,,,منتهية,ب م,
أثير للتعدين,ATHIR FOR MINING,سودانية,,,,,,,,منتهية,ب م,
أعمال الحديبة للتعدين,Hudaiba Mining Works,سودانية,,,,,,,,منتهية,ب م,
أعمال الدولي لتعدين الذهب والمعادن الأخري,Aamal International Gold & Other Minerals Mining,سودانية,,,,,,,,منتهية,ب م,
أعمال العبيداب للتعدين,Al Obaidab Mining Works,سودانية,,,,,,,,منتهية,ب م,
أعمال المعز إبراهيم اتيم للتعدين,  Almoez Ibrahim Ateem for Mining works,سودانية,,,,,,,,منتهية,ب م,
أعمال إستكشاف للتعدين,Exploration for mining,سودانية,,,,,,,,منتهية,ب م,
أعمال سندس للتعدين,Sondos Mining Business,سودانية,,,,,,,,منتهية,ب م,
أعمال سيد أحمد عوض للتعدين,SEED AHMED AWAD FOR MINING,سودانية,,,,,,,,منتهية,ب م,
أعمال شرف الدين حسين, Sharaf al-Din Hussein works,سودانية,,,,,,,,منتهية,ب م,
أعمال عادل ميرغني الرفاعي,Adel Mirghani Al-Rifai works,سودانية,,,,,,,,منتهية,ب م,
أعمال علي حرازم للتعدين,Ali Harazem for Mining  works,سودانية,,,,,,,,منتهية,ب م,
أعمال قورتي للتعدين,Qorti Mining Works,سودانية,,,,,,,,منتهية,ب م,
أعمال كارفور للتعدين,Carrefour Mining Business,سودانية,,,,,,,,منتهية,ب م,
أعمال كمبا للتعدين,Kumba Mining Business,سودانية,,,,,,,,منتهية,ب م,
أعمال لوازن للتعدين,Lawazen Mining Works,سودانية,,,,,,,,منتهية,ب م,
أعمال مصطفي عبد الله للتعدين,Mustafa Abdullah for Mining Works,سودانية,,,,,,,,منتهية,ب م,
أعمال مهنا للتعدين ,Muhanna Mining Business,سودانية,,,,,,,,منتهية,ب م,
أعمال نبنتود للتعدين,NAPTOUD FOR MINING,سودانية,,,,,,,,منتهية,ب م,
أعمال هشام الدين إبراهيم للتعدين, Hisham El Din Ibrahimfor  Mining works,سودانية,,,,,,,,منتهية,ب م,
أعمال ود العاسبيدو للتعدين ,Wad Al Asabido Mining Works,سودانية,,,,,,,,منتهية,ب م,
ألس للأعمال المتقدمة المحدودة,Ales Advanced Business Ltd.,سودانية,,,,,,,,منتهية,ب م,
أم بي أر العالمية المحدودة,MBR Global Ltd,سودانية,,,,,,,,منتهية,ب م,
أم ضفيرة,OM DAFIRA ,سودانية,,,,,,,,منتهية,ب م,
أمروس,AMROUS,سودانية,,,,,,,,منتهية,ب م,
أو أم بي للتعدين,OMP Mining,سودانية,,,,,,,,منتهية,ب م,
أورا للتعدين والأعمال المتقدمة,Ora Mining & Advanced Works,سودانية,,,,,,,,منتهية,ب م,
أورقانايزيشن للتعدين,Organization Mining,سودانية,,,,,,,,منتهية,ب م,
أولياء للتعدين,OWLYA FOR MINING,سودانية,,,,,,,,منتهية,ب م,
بانورا للتعدين,Panorama Mining,سودانية,,,,,,,,منتهية,ب م,
باى تك للتعدين والمحاجر,Bay Tech For Mining & Quarries,سودانية,,,,,,,,منتهية,ب م,
بنتوس انترناشونال,Bentos International ,سودانية,,,,,,,,منتهية,ب م,
تونتي فور ناين,Twenty four Nine,سودانية,,,,,,,,منتهية,ب م,
جازان للتعدين,Jazan Mining,سودانية,,,,,,,,منتهية,ب م,
جاعد,GAAED ,سودانية,,,,,,,,منتهية,ب م,
جراب للأنشطة المتعددة,GURAP FOR MINING,سودانية,,,,,,,,منتهية,ب م,
حمزة بابكر الحاج للحلول المتكاملة,Hamza Babiker Al Haj Integrated Solutions,سودانية,,,,,,,,منتهية,ب م,
داقلوج للتجارة المحدودة,"Daqlug Trading Co., Ltd.",سودانية,,,,,,,,منتهية,ب م,
دبيجه للتعدين,Dabaija Mining,سودانية,,,,,,,,منتهية,ب م,
روكي كروان قولد ماينغ المحدودة,ROCKY CROWN ,سودانية هندية,,,,,,,,منتهية,ب م,
رويال لتنمية الأعمال المحدودة,Royal Business Development Ltd.,سودانية,,,,,,,,منتهية,ب م,
زوان للتنمية المحدودة,Zwan Development Ltd,سودانية,,,,,,,,منتهية,ب م,
زوكا للاساثمار والتنمية,zucca investment and development Co.Ltd,سودانية,الخرطوم شارع الستين,,رضوان دفع الله محمد علي,09124991810-0966638182,الطيب عثمان سليمان بدوي,(90) 123-1595,zuccagraphiteinvest.sd@gmail.com,منتهية,ب م,
زوماك للتنمية الحضرية,Zumac Urban Development,سودانية,,,,,,,,منتهية,ب م,
سرسال للإستثمار والخدمات المحدودة,Sersal Investment & Services Ltd,سودانية,,,,,,,,منتهية,ب م,
سلطانة للتعدين,Sultana Mining,سودانية,,,,,,,,منتهية,ب م,
سملنتود للتعدين,Smallentwood Mining,سودانية,,,,,,,,منتهية,ب م,
سنايد المحدودة,Snyed Ltd,سودانية,,,,,,,,منتهية,ب م,
سنتامين للتعدين,Centamin Mining,سودانية,,,,,,,,منتهية,ب م,
سندس للتعدين,SUNDOS FOR MINING,سودانية,,,,,,,,منتهية,ب م,
سيف قند للتعدين,Saif Gand For Mining,سودانية,,,,,,,,منتهية,ب م,
شادوف للإستثمار المحدودة,Shadov Investment Ltd,سودانية,,,,,,,,منتهية,ب م,
شاع الدين للحلول المتكاملة,Shaaeddin Integrated Solutions,سودانية,,,,,,,,منتهية,ب م,
شركة ابوسفيان  للتعدين,Abu Sufyan Mining Company,سودانية,,,,,,,,منتهية,ب م,
شركة احيمر للتعدين ,Ahimer Mining Company,سودانية,,,,,,,,منتهية,ب م,
شركة الدردار للتجارة والمقاولات المحدودة,Aldardar Trading & Contracting Co. Ltd.,سودانية,,,,,,,,منتهية,ب م,
شركة رومينق للانشطة المتعددة ,Rumming Multi Activities Company,سودانية,,,,,,,,منتهية,ب م,
شركة سواحل افريقيا للانشطة المتعددة المحدودة,Africa Coasts Company for Multi Activities Ltd.,سودانية,,,,,,,,منتهية,ب م,
شركة كريمسون لايتس للتعدين,Crimson Lights Mining Company,سودانية,,,,,,,,منتهية,ب م,
شركة ماينييق تكنولوجي للتعدين,Minig Technology Company for Mining,سودانية,,,,,,,,منتهية,ب م,
شفاعه للاستثمار والخدمات المحدوده,Shafa'a Investment & Services Ltd.,سودانية,,,,,,,,منتهية,ب م,
طاقات للأنشطة المتعددة,Taqat for multiple activities,سودانية,,,,,,,,منتهية,ب م,
طاهينا للتعدين والإستثمار المحدودة,Tahina Mining & Investment Ltd,سودانية,,,,,,,,منتهية,ب م,
طروادة للأعمال المتقدمة,Tarwada for Advanced Business,سودانية,,,,,,,,منتهية,ب م,
عبد الله يعقوب للأنشطة المتعددة,ABDALLA YAGOUB,سودانية,,,,,,,,منتهية,ب م,
عثمان وسالم للأنشطة المتعددة,Osman & Salem Multiple Activities,سودانية,,,,,,,,منتهية,ب م,
عكرمه العالمية للتجارة والإستثمار المحدودة,Ekrema International Trading & Investment Ltd.,سودانية,,,,,,,,منتهية,ب م,
قولدن ايرث للتعدين والاستثمار المحدودة,Golden Earth Mininig  &Investment Co.Ltd,سودانية,الخرطوم,,اسعد حسب الرسول ابراهيم,091239007-0912308423,محمد الخضر بابكر,0912749978-0912744426,sakobees1975@gmail.com,منتهية,ب م,
قولدن تايم للتعدين المحدودة ,golden time co. ltd,سودانية,بورتسودان عمارة بعبود,,محجوب الزين محجوب قرشي,249912247150/249921180777,حسنين الزين محجوب قرشي,249915154618/249114420825,gurashielzien@gmail.com,منتهية,ب م,
