الاسم العربي:,الاسم الانجليزي:,الجنسية:,العنوان:,الموقع الالكتروني:,اسم المدير:,تلفون المدير:,اسم ممثل الشركة:,تلفون ممثل الشركة:,البريد الالكتروني الرسمي:,الحالة:,,,
ارض الكروم للمعادن,Land of Vineyards for Metals,غير معروف,0,0,0,0,0,0,0,ملغية,,,
اولماج للتجارة والاستثمار,Olmag Trading & Investment,غير معروف,0,0,0,0,0,0,0,ملغية,,,
امنين للاستيراد والتصدير ,Ameen For Import & Export ,غير معروف,0,0,0,0,0,0,0,ملغية,,,
اعمال مصطفى عوض,Mostafa Awad's work,غير معروف,0,0,0,0,0,0,0,ملغية,,,
الاقصر للتعدين,Aluxor For Mining,غير معروف,0,0,0,0,0,0,0,ملغية,,,
شاع الدين للحلول المتكاملة,Shaaeddin Integrated Solutions,غير معروف,0,0,0,0,0,0,0,ملغية,,,
الثرى للتعدين,Al Thara Mining,غير معروف,0,0,0,0,0,0,0,ملغية,,,
نصر الدين الشيخ مصطفى الامين واولاده,Nasr Aldin Sheikh Mustafa Al-Amin and his sons,غير معروف,0,0,0,0,0,0,0,ملغية,,,
كهرمان للانشطة المتعددة والاستثمار المحدودة,Kahraman Multiple Activities & Investment Ltd.,غير معروف,0,0,0,0,0,0,0,ملغية,,,
المختار للتعدين    ,Al Mukhtar Mining    ,غير معروف,0,0,0,0,0,0,0,ملغية,,,
الجسر الذهبى,Golden Bridge,غير معروف,0,0,0,0,0,0,0,ملغية,,,
بايتكس,Bytex,غير معروف,0,0,0,0,0,0,0,ملغية,,,
التين للتعدين,Teen Mining,غير معروف,0,0,0,0,0,0,0,ملغية,,,
السكب,slopping,غير معروف,0,0,0,0,0,0,0,ملغية,,,
شركة انستروكيم للصناعة والتعدين المحدودة,Astrochem Industrial & Mining Co. Ltd. ,غير معروف,0,0,0,0,0,0,0,ملغية,,,
شركة معاوية البرير للكيماويات,Muawiya Al Berir Chemical Company,غير معروف,0,0,0,0,0,0,0,ملغية,,,
