الاسم العربي:,الاسم الانجليزي:,الجنسية:,العنوان:,الموقع الالكتروني:,اسم المدير:,تلفون المدير:,اسم ممثل الشركة:,تلفون ممثل الشركة:,البريد الالكتروني الرسمي:,الحالة:
ولاية البحر الأحمر (الرضا للتعدين),ولاية البحر الأحمر (الرضا للتعدين),شركة سودانية, الخرطوم بحري- كافوري--شارع الصناعات-  مربع 2- شارع كافوري وسط- جوار شركة النيل الأزرق للأدوية- الطابق الثالث,sudan.gov.sd,امانة حكومة ولاية البحر الأحمر,185000000,امانة حكومة ولاية البحر الأحمر,185000000,sudan.gov.sd,منتجة
ايربوس للهندسة والتجارة المحدودة,ايربوس للهندسة والتجارة المحدودة,شركة سودانية,الخرطوم 3 - جنوب نادي الأسرة ,nibrastranss@gmail.com,يوسف يحي أتيم,912177380,عبدالرحيم صالح عبدالرحيم,918379929,nibrastranss@gmail.com,متقدمة
كهرمان للأنشطة المتعددة و الإستثمار المحدودة,كهرمان للأنشطة المتعددة و الإستثمار المحدودة,شركة سودانية,الخرطوم 3 - جنوب نادي الأسرة ,delmon@hotmail.com,الحسين الامين عمر احمد,123333455,هارون فضل,123330008,delmon@hotmail.com,متقدمة
ASPIRE NATURAL RESOURCES CO.LTD,ASPIRE NATURAL RESOURCES CO.LTD,شركة سودانية,الخرطوم- العمارات- شارع المطار- شارع 51- مبني رقم 23- جوار شركة أسوار- برج زينة الطابق الأرضي. ,vnk_shi@yahoo.ocm,sirnivas rama raju alluri,183777939,فيجن ناير,918062314,vnk_shi@yahoo.ocm,متقدمة
مياس ساند المعدنية المحدودة,مياس ساند المعدنية المحدودة,شركة كندية - أسترالية, الخرطوم -العمارات -شارع 3 -مبني رقم 22 ,perseusmining.com,brent irving,901231385,محمد عبدالحفيظ,123855955,perseusmining.com,منتجة
KUSH FOR EXPLORATION & PRODUCTION CO.LTD,KUSH FOR EXPLORATION & PRODUCTION CO.LTD,شركة روسية, الخرطوم-قادرن سيتي - شمال مجموعة معاوية البرير ,e.alexandrov@gmail.com,evgeny alexandrov,183777939,evgeny alexandrov,183777939,e.alexandrov@gmail.com,منتجة
HUSSIEN MADAWI BARAKA & SONS COMPANY LIMITED,HUSSIEN MADAWI BARAKA & SONS COMPANY LIMITED,شركة سودانية,الخرطوم العمارات شارع 15 -جوار البنك الزراعي – مبنى صندوق التامين الاجتماعي,hassein@sudanmail.net,محمد حسين مضوي ,9118888880,ناجي عباس,9118888880,hassein@sudanmail.net,مقبلة
بيوضة الكبرى للإستثمار  والتنمية,بيوضة الكبرى للإستثمار  والتنمية,شركة سودانية,الخرطوم – الجريف  تقاطع اوماك مع الستين -مبني رقم 375 -مجموعة حمدي الاستشارية,bayuda.21@outlook.com,أحمد سالم عباس عبدالهادي ,912308597,أحمد سالم عباس عبدالهادي ,912308374,bayuda.21@outlook.com,بحث 
SOFT JATHASU FOR INVESTMENT CO.LTD,SOFT JATHASU FOR INVESTMENT CO.LTD,شركة سودانية - يابانية,الخرطوم –الجريف غرب-شارع الستين - مربع 21- مبنى رقم 183- جوار البشائر للأساس,Omeryassin27@hotmail.com,الرشيد عمر محمد يس,912321231,ايمن عثمان الامين,912830005,Omeryassin27@hotmail.com,مقبلة
MANAHOLDING CO.LTD,MANAHOLDING CO.LTD,شركة صينية - مغربية,الخرطوم-الجريف غرب- ش الستين- مقابل وزارة الأوقاف-مبنى رقم 158-الطابق الأرضي-شقة رقم2,abarro@managem-ore.com,li mengwen,907597777,chen youdong,963333366,abarro@managem-ore.com,مقبلة
حكومة ولاية نهر النيل و  أركيديا للموارد الأفريقية المحدودة,حكومة ولاية نهر النيل و  أركيديا للموارد الأفريقية المحدودة,شركة سودانية,الخرطوم –الرياض- شارع مستشفي مكة- جنوب مطعم باب حسين.,sudan.gov.sd,الامانة العامة حكومة ولاية نهر النيل,185000000,الامانة العامة حكومة ولاية نهر النيل,185000000,sudan.gov.sd,متقدمة
نجيم قولد للتعدين المحدودة,نجيم قولد للتعدين المحدودة,شركة صينية - مغربية,الخرطوم-الجريف غرب- ش الستين- مقابل وزارة الأوقاف-مبنى رقم 158-الطابق الأرضي-شقة رقم2,abarro@managem-ore.com,li mengwen,907597777,chen youdong,963333366,abarro@managem-ore.com,مقبلة
FINE GOLD TRADING COMPANY LIMITED,FINE GOLD TRADING COMPANY LIMITED,شركة سودانية,الخرطوم -  السوق العربي-غرب فندق البحرين ,finegoldmining.com,البشير محمد علي طه,912307661,عبدالرحمن وضاحة علي طه,912397774,finegoldmining.com,بحث 
بركان للصناعات المعدنية المحدودة,بركان للصناعات المعدنية المحدودة,شركة سودانية,الخرطوم –أركويت شارع البلابل –مربع 65  ,elsallawi@sudasam.com,عبدالرحمن السلاوي,912301957,محمد عبدالرحمن السلاوي,912301957,elsallawi@sudasam.com,بحث 
ولاية شمال كردفان,ولاية شمال كردفان,شركة سودانية, ولاية شمال كردفان – الأبيض- وزارة الموارد المائية والصناعة والتعدين,sudan.gov.sd,امانة حكومة ولاية شمال كردفان,185000000,امانة حكومة ولاية شمال كردفان,185000000,sudan.gov.sd,بحث
جهينة للتجارة والاستثمار المحدودة,جهينة للتجارة والاستثمار المحدودة,شركة سودانية, الخرطوم 3 – شارع الحرية – مبنى جهينة للإسبيرات -الطابق الأول   ,guhaina@hotmail.com,عدلي سيد محمد طاهر,183496963,عدلي سيد محمد طاهر,183496963,guhaina@hotmail.com,مقبلة
DONGALA-ARGEEN HIGH WAY FOR INVESTMENT COMPANY LIMITED,DONGALA-ARGEEN HIGH WAY FOR INVESTMENT COMPANY LIMITED,شركة سودانية, الخرطوم – بري اللاماب مربع 9- عقار رقم (497) –  جنوب برج الإتصالات,rehab@zawayagroup.com,عبدالباسط حمزة,912332069,موسى دنقلا ارقين,912208657,rehab@zawayagroup.com,متقدمة
الهاجري للأعمال المتقدمة المحدودة,الهاجري للأعمال المتقدمة المحدودة,شركة سعودية,الخرطوم –شارع المك نمر – جوار السفارة النيجيرية  - الطابق الأول - شقة رقم 4  ,alhajrymining.com,خالد عثمان الحاج عمر,122091765,خالد عثمان الحاج عمر,122091765,alhajrymining.com,بحث 
الولاية الشمالية,الولاية الشمالية,شركة سودانية, الولاية الشمالية  - دنقلا- مكتب  وزير التخطيط العمراني,it@alshamaliastate.org.sd,الامانة العامة حكومة  الولاية الشمالية,185000000,الامانة العامة حكومة  الولاية الشمالية,185000000,it@alshamaliastate.org.sd,بحث 
مشروع جبل عامر(الجنيد للأنشطة المتعددة سابقاً),مشروع جبل عامر(الجنيد للأنشطة المتعددة سابقاً),شركة سودانية, الخرطوم – الرياض– شارع 117 جوار رئاسة شركة الهدف,smrc,smrc,smrc,smrc,smrc,smrc,بحث 
نبتة للجيولوجيا و التعدين المحدودة,نبتة للجيولوجيا و التعدين المحدودة,شركة مصرية,الخرطوم 3 – نادي الأسرة- شرق شركة زين ,ragab.elbanna@ascom.com,حسين محمد عبدالحميد,915663536,حسين محمد عبدالحميد,915663536,ragab.elbanna@ascom.com,بحث 
آيات لخدمات حقول البترول المحدودة,آيات لخدمات حقول البترول المحدودة,شركة سودانية, الخرطوم – العمارات – تقاطع شارع محمد نجيب مع شارع 35 – مبنى 17 ,Web site: eyatoil.com,احمد هارون,999600700,احمد هارون,999600700,Web site: eyatoil.com,منتجة
عبد الوهاب السيسي للتعدين المحدودة,عبد الوهاب السيسي للتعدين المحدودة,شركة سودانية,مكتب الخرطوم-الخرطوم- بري قاردن سيتي–شارع ميامي- غرب معرض الخرطوم الدولي - مكتب بحري: بحري شارع الحوادث - مستشفي بحري,dr.alsisi@hotmail.com,عبدالمعين ,912236766,عبدالمعين ,912236766,dr.alsisi@hotmail.com,منتجة
الحضارات القديمة للاستثمار المحدودة,الحضارات القديمة للاستثمار المحدودة,شركة سودانية,الخرطوم – شارع الصحافة زلط – (شارع كترينا)– مقابل صينية بدر,ancientcivililmining.com,عبدالقادر محمد زين,185000000,عبدالقادر محمد زين,185000000,ancientcivililmining.com,بحث 
T.W.N.   للتعدين المحدودة,T.W.N.   للتعدين المحدودة,شركة أردنية,الخرطوم – العمارات -شارع المطار –شارع 57 ,abdosaudi@yahoo.com,علي حمد عيسى فضل الله,912931885,محاسن عباس خالد,912931885,abdosaudi@yahoo.com,بحث 
سر الختم أحمد طه و أولاده العالمية للإستثمار,سر الختم أحمد طه و أولاده العالمية للإستثمار,شركة سودانية,الخرطوم بحري- المنطقة الصناعية- شمال جهاز الأمن ,ssinvestmentlimited@gmail.com,,,,,,متقدمة
ولاية الجزيرة,ولاية الجزيرة,شركة سودانية,ولاية الجزيرة - مدني - شارع النيل - وزارة التخطيط العمراني - جوار قصر الضيافة,sudan.gov.sd,امانة حكومة ولاية الجزيرة,185000000,امانة حكومة ولاية الجزيرة,185000000,sudan.gov.sd,بحث 
ولاية الخرطوم,ولاية الخرطوم,شركة سودانية,الخرطوم – شارع افريقيا- وزارة الصناعة والإستثمار  ,sudan.gov.sd,امانة حكومة ولاية الخرطوم,185000000,امانة حكومة ولاية الخرطوم,185000000,sudan.gov.sd,بحث 
ولاية النيل الأزرق,ولاية النيل الأزرق,شركة سودانية, ولاية النيل الأزرق – الدمازين – وزارة المالية والإقتصاد والتنمية – إدارة الصناعة والتعدين ,sudan.gov.sd,امانة حكومة ولاية النيل الازرق,185000000,امانة حكومة ولاية النيل الازرق,185000000,sudan.gov.sd,بحث 
ولاية غرب دارفور,ولاية غرب دارفور,شركة سودانية,ولاية غرب دارفور- الجنينة- وزارة التخطيط العمراني,sudan.gov.sd,امانة حكومة ولاية غرب دارفور,185000000,امانة حكومة ولاية غرب دارفور,185000000,sudan.gov.sd,بحث 
ولاية جنوب دارفور,ولاية جنوب دارفور,شركة سودانية, ولاية جنوب دارفور – مبنى الولاية- مكتب الإستثمار,sudan.gov.sd,امانة حكومة ولاية جنوب دار فور,185000000,امانة حكومة ولاية جنوب دار فور,185000000,sudan.gov.sd,بحث 
OAM   للتعدين المحدودة,OAM   للتعدين المحدودة,شركة سودانية,الخرطوم – ابراج النصر – مبنى رقم 42D -الطابق الثاني,vishnuoswal@gmail.com,vishnuoswal,185000000,vishnuoswal,185000000,vishnuoswal@gmail.com,بحث 
بي بي هيدروليك المحدودة (بي بي للتعدين),بي بي هيدروليك المحدودة (بي بي للتعدين),شركة سودانية,الخرطوم- شرق مستشفى رويال كير - مبنى رقم 14-  الطابق الثالث - شقة رقم 8,bb.hydraulic2012@gmail.com,ابوبكر محمد ابراهيم ,185000000,ابوبكر محمد ابراهيم ,185000000,bb.hydraulic2012@gmail.com,بحث 
ولاية غرب كردفان,ولاية غرب كردفان,شركة سودانية,ولاية غرب كردفان – الفولة – وزارة المالية,westkordofanstate@outlook.com,امانة حكومة ولاية غرب كردفان,185000000,امانة حكومة ولاية غرب كردفان,185000000,sudan.gov.sd,بحث 
ولاية غرب كردفان,ولاية غرب كردفان,شركة سودانية,ولاية غرب كردفان – الفولة – وزارة المالية,westkordofanstate@outlook.com,امانة حكومة ولاية غرب كردفان,185000000,امانة حكومة ولاية غرب كردفان,185000000,sudan.gov.sd,بحث 
QMSD MINING CO.LTD,QMSD MINING CO.LTD,شركة قطرية,الخرطوم –شارع أفريقيا -تقاطع عفراء -عمارة بنك ابوظبي الاسلامي -الطابق الاول,malshahwani@qatarmining.com,حمد راشد العذبه,97455872255,علي أوكير,911296629,malshahwani@qatarmining.com,مقبلة
ولاية النيل الأزرق,ولاية النيل الأزرق,شركة سودانية, ولاية النيل الأزرق – الدمازين – وزارة المالية والإقتصاد والتنمية – إدارة الصناعة والتعدين ,sudan.gov.sd,امانة حكومة ولاية النيل الازرق,185000000,امانة حكومة ولاية النيل الازرق,185000000,sudan.gov.sd,بحث 
النحلة للبترول المحدودة,النحلة للبترول المحدودة,شركة سودانية,الخرطوم - العمارات – شارع 61 – طلمبة النحلة ,info@beegroub.net,يوسف جمال الدين عثمان,1434704780,حسن يوسف,1434704780,info@beegroub.net,بحث 
المتحدة للتعدين المحدودة (يو إم سي),المتحدة للتعدين المحدودة (يو إم سي),شركة سودانية,الخرطوم – المنشية – جوار MTN,siddig.elgemri@passive-monitoring.com,عوض الله نواي,185000000,عوض الله نواي,185000000,siddig.elgemri@passive-monitoring.com,متقدمة
ولاية البحر الاحمر,ولاية البحر الاحمر,شركة سودانية, ولاية البحر الأحمر – بورتسودان – رئاسة أمانة الحكومة ,motabaa2020@yahoo.com,امانة حكومة ولاية البحر الاحمر,185000000,امانة حكومة ولاية البحر الاحمر,185000000,motabaa2020@yahoo.com,بحث 
لازوتين للتعدين,لازوتين للتعدين,شركة سودانية,الخرطوم – ابراج النصر مبنى رقم A31- الطابق السادس- شقة 601  ,welltecraco@yahoo.com,سعد الطيب احمد,912151998,مجاهد بلال طه,123013870,welltecraco@yahoo.com,منتجة
البجراوية للتعدين,البجراوية للتعدين,شركة سودانية,الخرطوم 2 – جنوب حديقة القرشي – الخرطوم  شرق - مربع 2/A  شارع 28  ,albagrawiya@Yahoo .ca,عثمان الشيخ مصطفى الامين,185000000,عثمان الشيخ مصطفى الامين,185000000,albagrawiya@Yahoo .ca,بحث 
ديزل للتعدين,ديزل للتعدين,شركة سودانية,الخرطوم– شارع المطار– مقابل مبنى الجمارك- عمارة المعدات الثقيلة ( GPC ),dieselminig.com,عثمان ديزل,185000000,عثمان ديزل,185000000,dieselminig.com,بحث 
ولاية جنوب كردفان,ولاية جنوب كردفان,شركة سودانية, الخرطوم -العمارات شارع 29 - مربع 38   ,algdail2me@gmail.com,امانة حكومة ولاية غرب كردفان,185000000,امانة حكومة ولاية غرب كردفان,185000000,algdail2me@gmail.com,بحث 
نيلان العالمية المحدودة,نيلان العالمية المحدودة,شركة سودانية, الخرطوم- شارع القيادة –جوار مسجد القيادة العامة ,Neilaninter@gmail.com,مصطفى صلاح الدين حسن ابوصالح,185000000,يعقوب محمود محمد الامين,185000000,Neilaninter@gmail.com,بحث 
مناجم العالمية للتعدين المحدودة(مانوب),مناجم العالمية للتعدين المحدودة(مانوب),شركة سودانية,الخرطوم -الجريف غرب مربع 80-  ش الستين- مقابل وزارة الأوقاف- مبنى رقم 158- الطابق الأرضي- شقة 2,abarro@managem-ona.com,حسن نبيل,912164802,قنديل,123181823,abarro@managem-ona.com,منتجة
الارض العالمية للحلول المتكاملة  المحدودة,الارض العالمية للحلول المتكاملة  المحدودة,شركة سودانية,الخرطوم – الطائف – شارع عبيد ختم- شمال سكر كنانة- غرب السفارة الأردنية سابقأ  ,alard60@gmail.com,مبارك الارض,185000000,مبارك الارض,185000000,alard60@gmail.com,بحث 
النواتي للتعدين (النواتي لتعدين الذهب والنحاس),النواتي للتعدين (النواتي لتعدين الذهب والنحاس),شركة سودانية - صينية, الخرطوم – الجريف غرب -شارع الستين – مربع- 78 -عقار رقم 59,alnawati@hotmail .com,sun  gun bo,912373232,د تاي الله,121471917,alnawati@hotmail .com,منتجة
مهوقني للاستثمار المحدودة,مهوقني للاستثمار المحدودة,شركة سودانية,الخرطوم بحري – شمال شارع كسلا –جوار البنك الأهلي المصري مبني رقم 19 -22,mahoganymining.com,محمد الطيب,9122696997,احمد مسلم,183777939,mahoganymining.com,منتجة
BRINSLEY ENTERPRISES LTD,BRINSLEY ENTERPRISES LTD,شركة سودانية - أردنية,الخرطوم- العمارات -ش 47- عمارة 18 – شقة 7,orshabmining@outlook.com,رمزي سلامة,185312233,رمزي سلامة,185312233,brinslymining.com,منتجة
OKO MINING INVESTMENTS CO.LTD,OKO MINING INVESTMENTS CO.LTD,شركة سودانية,الخرطوم قاردن سيتي مربع 73 ,www.dalgroup.com,د. محمد ابوفاطمة,912317032,احمد فيصل ,967898750,www.dalgroup.com,متقدمة
بولي بيوضة لتعدين الذهب ( حجاجية),بولي بيوضة لتعدين الذهب ( حجاجية),شركة سودانية,الخرطوم- شمال غرب كبري المك نمر- جوار حلويات الشامية- الطابق الثاني- شقة رقم 3,admico2@hotmail.com,انور مختار,123320076,محمد عثمان,908416109,admico2@hotmail.com,منتجة
تاهي العالمية للتعدين (دلقو للتعدين),تاهي العالمية للتعدين (دلقو للتعدين),شركة تركية,الخرطوم بحري-المغتربين –-شارع الإنقاذ مربع 4– غرب الكرين مبنى رقم 32,tahemining.com,احمد شاهين,185000000,حسن محمد حسن,185000000,tahemining.com,منتجة
أرياب للتعدين,أرياب للتعدين,شركة سودانية,الخرطوم - شارع البلدية,www.Ariammining.com,نصر الدين الحسين,912393491,دايتك علي دايتك,912143626,www.Ariammining.com,منتجة
تيانجين هواكان,تيانجين هواكان,شركة صينية,الخرطوم-بري الللاماب –ش محمد شريف- مربع 6 – مبنى 386,sudanhuakan@gmail.com,وانق شين جي,915186184,ندى هواكان,912473090,sudanhuakan@gmail.com,منتجة
زيتونة للتعدين,زيتونة للتعدين,شركة سودانية,الخرطوم-الرياض مربع 1 – شارع مستشفى مكة – مبنى رقم 9 عمارة آمنة ,abualnoor41727@gmail.com,احمد سرالختم,121774392,علي محمد علي ,121774392,abualnoor41727@gmail.com,بحث 
نحمدو  للتعدين,نحمدو  للتعدين,شركة سودانية,الخرطوم- تقاطع شارع البلدية  مع شارع عثمان دقنة شرق المنظمة العربية للتنمية الزراعية  ,nahmido214@gmail.com,مدير عام نحمدو,185000000,ممثل نحمدو,185000000,nahmido214@gmail.com,بحث 
الوادي الأصفر للتجارة و الإستثمار المحدودة,الوادي الأصفر للتجارة و الإستثمار المحدودة,شركة سودانية,الخرطوم - شارع الهوى – الأزهري -مربع 19,fox109@outlook.com,ممثل الوادي الاصفر,185000000,ممثل الوادي الاصفر,185000000,fox109@outlook.com,بحث 
أم القرى للتعدين,أم القرى للتعدين,شركة سودانية, الخرطوم 3 – شارع بيويو كوان - تقاطع شارع 55 - مبنى رقم 3,gold@umalgura.com,صادق حاج علي,185000000,حسن حاج علي,185000000,gold@umalgura.com,مقبلة
دانفوديو لخدمات البترول المحدودة,دانفوديو لخدمات البترول المحدودة,شركة سودانية,الخرطوم- الكلاكلة - سوق الكلاكلة شمال - مربع 10- مبنى رقم 93,oalamin@dps.com,عثمان مضوي,185000000,عثمان مضوي,185000000,oalamin@dps.com,متقدمة
اي آد تيكنولوجي المحدودة,اي آد تيكنولوجي المحدودة,شركة سودانية,الخرطوم – شرق شارع المك نمر مربع 6 ,e-ado3@hotmail.com,مدير عام اياد تكنولوجي,185000000,ممثل اباد تكنولوجي,185000000,e-ado3@hotmail.com,بحث 
مياس نوب للأنشطة المتعددة (بان سودان ريسورسز-شركة الإنتاج),مياس نوب للأنشطة المتعددة (بان سودان ريسورسز-شركة الإنتاج),شركة سودانية, الخرطوم بحري- كافوري مربع 11 شارع الصفوة مبنى رقم 31/7   ,osmankhider@yahoo.com,عثمان خضر,185000000,محمد عثمان البدري,185000000,osmankhider@yahoo.com,منتجة
السنط للتعدين المحدودة,السنط للتعدين المحدودة,شركة سودانية, الخرطوم – الرياض ش 117 -مربع 19-جنوب غرب مسجد الراشدين وشرق شركة الهدف,omran2914@gmail.com,مدير عام السنط للتعدين,185000000,مدير عام السنط للتعدين,185000000,omran2914@gmail.com,بحث 
الحامدين للتعدين,الحامدين للتعدين,شركة سودانية,الخرطوم- - شارع مأمون بحيري – شقق النصر مبنى رقم ( AO),saadalhmdeen@gmail.com,مدير عام الحامدين,185000000,مدير عام الحامدين,185000000,saadalhmdeen@gmail.com,بحث 
نارس للأنشطة المتعددة المحدودة,نارس للأنشطة المتعددة المحدودة,شركة سودانية,الخرطوم -شارع عبد المنعم محمد- مبني رقم 53/52,saadalhmdeen@gmail.com,فضل احمد فضل,185000000,عثمان ادروب,185000000,Mohmed_seed56@hotmail.com,بحث 
الدوحة للإستثمار المحدودة,الدوحة للإستثمار المحدودة,شركة قطرية, الخرطوم -العمارات -شارع 3 ,Mohmed_seed56@hotmail.com,الشيخ فهد حمد عبد العزيز حمد آل ثاني,97450844000,الشيخ فهد حمد عبد العزيز حمد آل ثاني,97450844000,mohamedgeology@hotmail.com,بحث 
النحلة للتنمية والإسكان المحدودة,النحلة للتنمية والإسكان المحدودة,شركة سودانية,الخرطوم - العمارات – شارع 61 – طلمبة النحلة ,info@beegroub.net,يوسف جمال الدين عثمان,1434704780,حسن يوسف,1434704780,info@beegroub.net,بحث 
كمبال العالمية المحدودة,كمبال العالمية المحدودة,شركة سودانية,الخرطوم – شارع علي عبد اللطيف-برج الفيحاء -بناية رقم 10- شقة رقم 8,kico2005@maktoob.com,محمد صلاح كمبال,183779337,نزار جيولوجي,183779337,kico2005@maktoob.com,مقبلة
لوسيل للتعدين المحدودة,لوسيل للتعدين المحدودة,شركة سودانية,الخرطوم –شارع أفريقيا -تقاطع عفراء -عمارة بنك ابوظبي الاسلامي –الطابق الرابع,Lusail.mining@gmail.com,محمد سعد زين العابدين,912347580,عثمان يوسف عوض الله,912475806,Lusail.mining@gmail.com,بحث 
أوبال كواريز,أوبال كواريز,شركة سودانية,الخرطوم- تقاطع شارع افريقيا مع شارع 61– مبني رقم 19,info@opalquarries.com,علي محمد عمر,185000000,علي محمد عمر,185000000,info@opalquarries.com,بحث 
بلوتو للأنشطة المتعددة المحدودة (بلوتو للتعدين- إسم عمل),بلوتو للأنشطة المتعددة المحدودة (بلوتو للتعدين- إسم عمل),شركة سودانية,الخرطوم – شارع علي عبد اللطيف-برج الفيحاء -بناية رقم 10- شقة رقم 8,plutomining.com,عمار محمد عثمان,912308106,عمار محمد عثمان,912308106,plutomining.com,بحث 
أعمال أنفاس للتعدين,أعمال أنفاس للتعدين,شركة سودانية,الخرطوم- شارع مامون بحيري – عمارة عرب اوث- شقة رقم 4,anfasmining.com,مدير عام اعمال انفاس للتعدين,185000000,ممثل اعمال انفاس للتعدين,185000000,anfasmining.com,بحث 
ALGUNADE FOR MULTI ACTIVITIES CO.LTD,ALGUNADE FOR MULTI ACTIVITIES CO.LTD,شركة سودانية,الخرطوم- الجريف غرب- الحارة الأولى- مربع 134,Waleedeitayeb26@gmail .com ,عبدالرحمن احمد البكري,185000000,ادم حمدان علي محمد,185000000,Waleedeitayeb26@gmail .com ,مقبلة
سودامين المحدودة,سودامين المحدودة,شركة سودانية,الخرطوم - المنشية -شارع الكبري,www.sudamin.com,كمال حسن الحاج رحمة,912300914,محمد كمال سيد احمد,123006868,www.sudamin.com,بحث 
الدغيثر للإستثمار والتعدين المحدودة,الدغيثر للإستثمار والتعدين المحدودة,شركة سودانية,الخرطوم بحري- الصافية – مربع 1 – منزل 25,aldegathermining.com,عبدالله الصادق,185000000,مدثر بله,122325503,aldegathermining.com,مقبلة
هجو للمقاولات (الدالي والمزموم لاعمال التربة والمقاولات),هجو للمقاولات (الدالي والمزموم لاعمال التربة والمقاولات),شركة سودانية,الخرطوم- العمارات- شارع 1 -عقار رقم 3,hagomining.com,عمر ادريس المصباح,912387933,عمر ادريس المصباح,912387933,hagomining.com,بحث 
