CODE,الشـــــــــــــــــــركة,الايميل,
478,بولي بيوضة لتعدين الذهب ( حجاجية),polybayudagoldmining@gmail.com,1
479,تاهي العالمية للتعدين (دلقو للتعدين),Saif.elnour@delgomining.com,1
480,أرياب للتعدين,www.Ariammining.com,2
481,تيانجين هواكان,sudanhuakan@gmail.com,
482,زيتونة للتعدين,abualnoor41727@gmail.com,
483,نحمدو  للتعدين,nahmido214@gmail.com,
484,الوادي الأصفر للتجارة و الإستثمار المحدودة,fox109@outlook.com,
485,أم القرى للتعدين,umalguraamining@gmil.com,1
486,دانفوديو لخدمات البترول المحدودة,dps@danfodio.sd,1
487,اي آد تيكنولوجي المحدودة,e-ado3@hotmail.com,
488,مياس نوب للأنشطة المتعددة (بان سودان ريسورسز-شركة الإنتاج),Aliosmanalbadri@gmail.com,1
489,السنط للتعدين المحدودة,omran2911@gmail.com,1
490,الحامدين للتعدين,saadalhmdeen@gmail.com,
491,نارس للأنشطة المتعددة المحدودة,Mohmed_seed56@hotmail.com,
492,الدوحة للإستثمار المحدودة,mohamedgeology@hotmail.com,1
493,النحلة للتنمية والإسكان المحدودة,info@beegroub.net,
494,كمبال العالمية المحدودة,nazarabdo500@gmail.com,1
495,لوسيل للتعدين المحدودة,Lusaimining@gmail.com,1
496,أوبال كواريز,info@opalquarries.com,
497,بلوتو للأنشطة المتعددة المحدودة (بلوتو للتعدين- إسم عمل),pluto@mining.com,1
498,أعمال أنفاس للتعدين,anfas@mining.com,1
499,ALGUNADE FOR MULTI ACTIVITIES CO.LTD,,
500,سودامين المحدودة,www.sudamin.com,
501,الدغيثر للإستثمار والتعدين المحدودة,aldegatherminingٍ@gmail.com,1
502,هجو للمقاولات (الدالي والمزموم لاعمال التربة والمقاولات),sabil86@hotmail.com,1
503,ود الجمالي للانشطة المتعددة,www.Wdalgamalymining.com,
504,سانجوب للتعدين,info.sanjoub@albarajoub.com,
505,البدري للطاقة المحدودة,info@albadripower.com,1
506,الغالي للتعدين المحدودة,alghali@mining.com,
507,DESERT MINERALS CO LTD,gm@desert-minerals.com,
508,CONCORP MINING CO.LTD,info@concorp.net,
509,MTA COMPANY.LTD,Yunus.badam@mtaic.gov.tr,1
510,MTA COMPANY.LTD,Yunus.badam@mtaic.gov.tr,1
511,DAL Mining Investment Company LTD,mohd.seddeg@dalgroup.com,1
512,لايزون للتعدين وخدمات التعدين,info@lizon.net,
513,KHADAMAAT ALTADEEN FOR INTEGRATED SOLUTIONS CO.LTD,,
514,KHADAMAAT ALTADEEN FOR INTEGRATED SOLUTIONS CO.LTD,,
515,KHADAMAAT ALTADEEN FOR INTEGRATED SOLUTIONS CO.LTD,,
516,SHUN XIANG ALALAMEYA TRADING AND INVESTMENT CO.LTD,azza@shunshiangmining.com,
517,AL SHATI COMPANY FOR MINING LIMITED,simhar-co@hotmail.com,
518,YAMANI FOR DEVELOPMENT CO.LTD,salah.hm@hotmail.com,
519,HADEEL For DEVELOPED POROJECT CO.LTD,hadeelcompany2021@gmail.com,
520,WANBAO SAHARA MINING CO.LTD,limw@wbmining.com,
521,WANBAO SAHARA MINING CO.LTD,limw@wbmining.com,
522,WANBAO SAHARA MINING CO.LTD,limw@wbmining.com,
523,WANBAO SAHARA MINING CO.LTD,limw@wbmining.com,
524,WANBAO SAHARA MINING CO.LTD,limw@wbmining.com,
525,WANBAO SAHARA MINING CO.LTD,limw@wbmining.com,
526,KALDOFAN FOR MINING CO.LTD,Info@kaldofan.com,1
527,FREEDOM COMPANY LIMITED,malnor@kmmining.com,
528,SHANDONG WEIHAI FOUNDATION ENGINEERING CO.LTD,sdpisgw@163.com,
529,SUDAMATIC TRADING CO.LTD,www.sudamatic.com,
530,ALMGFOLA FOR MINING,www.almgfola@gmail.com,
531,SUDAMIN COMPANY LIMITED,www.sudamin.com,
532,ALGENAID MULTI ACTIVITIES CO.LTD,,
533,ALGENAID MULTI ACTIVITIES CO.LTD,,
534,ARIAB MINING CO.LTD,www.Ariammining.com,
535,ARIAB MINING CO.LTD,www.Ariammining.com,
536,ARIAB MINING CO.LTD,www.Ariammining.com,
537,ARIAB MINING CO.LTD,www.Ariammining.com,
538,MUZUN FOR MINING CO.LTD,Ahmed.yousif.a@hotmail.com,1
539,LBTY STEEL CO.LTD SUDAN,libtysteel.com,
540,ALMIZAN FOR PETROLEUM SERVICES AND MINING CO.LTD,ESMEG0123@gmail.com,
541,INTERNET TRADING & TRANSPORT INTERNATIONAL CO.LTD,wagdi@ico.com,
542,JWEELS FOR MINING,wailaa55@gmail.com,
543,MAGDACO FOR MINING,Magdaco123@hotmail.com,1
544,A D G MINING CO.LTD,adg@mining.com,
545,KHALID ALFAKI AHMED RAHMA MINING ENTERPRISES,khalid_shendi@yahoo.com,
546,KHALDOFAN FOR MINING CO.LTD,malnor@kmmining.com,
547,DESERT MINERALS CO.LTD,gm@desert-minerals.com,
548,PAN AFRICAN RESOURCES MINERALS CO.LTD,info@pan.co.za,1
549,PAN AFRICAN RESOURCES MINERALS CO.LTD,info@pan.co.za,1
550,PAN AFRICAN RESOURCES MINERALS CO.LTD,info@pan.co.za,1
551,PAN AFRICAN RESOURCES MINERALS CO.LTD,info@pan.co.za,1
552,PAN AFRICAN RESOURCES MINERALS CO.LTD,info@pan.co.za,1
553,SUDABO TRADING AND INVESTMENT CO.LTD,karoomkaroom@yahoo.com,1
554,CREEPER INTEGRATED SOLUTIONS,alaml1904.mss@gmail.com,1
555,CHINA HAINA BAICHUAN INTERNATIONAL INVESTMENT CO.LTD,Wangfangazz@gmail.com,1
556,OSTORIA FOR ADVANCED BUSINESS CO.LTD,info@ostorian.com,
557,ELMUBARK ELTAYEB MINING,am_talsam@yahoo.com,1
558,ALTAGEER INVESTMENT CO.LTD,wdalrady@gmail.com,
559,DENMEAD PETROLEUM L.L.C,denamead@petroluem.com,
560,WD ALGAMALY MULTI ACTIVITIES CO.LTD,www.Wdalgamalymining.com,
561,MUSLIH NASSAR INTERNATIONAL FOR MINING & SERVICES,mnsar@mining.com,
562,ALNASEER INTERNATIONAL CO.LTD,wdalrady@gmail.com,
563,ALNASEER INTERNATIONAL CO.LTD,wdalrady@gmail.com,
564,OPAL MINING CO.LTD,www.shakikqconsulant.com,
565,ORC MULTI PURPOSE CO.LTD,saddigamara12@gmail.com,
566,DAL MINING INVESTMENT CO.LTD,mohd.seddeg@dalgroup.com,1
567,DAL MINING INVESTMENT CO.LTD,mohd.seddeg@dalgroup.com,1
568,JOINT STOCK COMPANY ZARUBEZHGEOLOGIA,,
569,ALTALE MINING & INVESTMENT CO.LTD,,
570,KALDOFAN FOR MINING CO.LTD,Info@kaldofan.com,1
571,PETRONEEDS SERVICES INTERNATIONAL CO.LTD,,
,,,
,,   ,
